Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000045238.9	0	0	0	0	1	0
ENSMUSG00000045339.7	0	0	0	0	0	0
ENSMUSG00000045345.6	0	0	0	3	0	3
ENSMUSG00000045391.4	0	0	0	0	0	0
ENSMUSG00000045464.5	40	62	54	80	35	63
ENSMUSG00000045709.10	0	0	2	1	2	0
ENSMUSG00000045746.3	0	5	10	8	1	4
ENSMUSG00000045813.7	0	0	0	2	0	0
ENSMUSG00000045815.4	0	0	0	0	0	0
ENSMUSG00000045928.2	0	9	3	0	1	1
ENSMUSG00000046005.3	0	0	3	0	1	0
ENSMUSG00000046109.6	1	0	0	3	3	5
ENSMUSG00000046119.2	0	0	0	0	0	0
ENSMUSG00000046219.9	0	0	0	0	0	0
ENSMUSG00000046413.14	0	0	0	5	2	1
ENSMUSG00000046415.11	0	4	3	0	0	1
ENSMUSG00000046463.5	12	6	22	4	7	6
ENSMUSG00000046683.16	0	0	0	0	0	0
ENSMUSG00000046764.8	0	0	0	0	0	0
ENSMUSG00000046840.16	0	0	0	0	0	0
ENSMUSG00000046995.3	0	0	0	0	0	0
ENSMUSG00000047046.8	0	0	0	0	1	0
ENSMUSG00000047324.5	0	0	0	0	0	0
ENSMUSG00000047383.8	0	0	0	0	0	0
ENSMUSG00000047384.3	0	0	0	0	0	0
ENSMUSG00000047661.9	0	0	0	0	0	0
ENSMUSG00000047692.6	0	1	2	4	6	0
ENSMUSG00000047807.10	0	0	0	0	0	0
ENSMUSG00000047935.17	30	34	24	33	16	56
ENSMUSG00000047938.7	0	0	0	0	1	0
ENSMUSG00000048106.5	143	156	107	150	129	178
ENSMUSG00000048215.14	0	0	0	0	0	0
ENSMUSG00000048484.4	2	0	0	4	4	6
ENSMUSG00000048603.8	22	41	13	42	33	47
ENSMUSG00000048628.5	0	0	0	0	0	0
ENSMUSG00000048824.7	0	0	0	0	0	0
ENSMUSG00000049160.15	0	0	0	0	0	0
ENSMUSG00000049476.12	0	0	0	0	0	0
ENSMUSG00000050066.6	0	0	0	0	0	0
ENSMUSG00000050179.3	0	0	0	0	0	0
ENSMUSG00000050189.4	0	0	0	0	0	0
ENSMUSG00000050334.12	8	0	4	15	4	2
ENSMUSG00000050936.5	225	144	267	239	212	115
ENSMUSG00000051008.5	0	0	0	5	2	0
ENSMUSG00000051074.4	0	7	1	3	3	3
ENSMUSG00000051198.6	0	0	0	0	0	0
ENSMUSG00000051295.7	0	0	1	5	3	0
ENSMUSG00000051297.8	0	0	6	5	5	0
ENSMUSG00000051616.14	0	0	0	0	0	0
ENSMUSG00000051729.11	0	0	0	0	0	0
ENSMUSG00000051758.6	0	0	0	0	0	0
ENSMUSG00000051805.1	0	0	0	0	0	0
ENSMUSG00000051832.7	8	52	24	46	22	7
ENSMUSG00000051844.13	0	0	0	2	0	0
ENSMUSG00000051986.6	0	0	0	0	0	0
ENSMUSG00000052125.16	33	53	42	52	56	58
ENSMUSG00000052143.8	0	0	0	0	0	0
ENSMUSG00000052154.4	13	0	2	2	6	0
ENSMUSG00000052188.6	0	0	0	0	0	0
ENSMUSG00000052236.7	0	0	0	0	0	0
ENSMUSG00000052248.15	0	0	0	0	1	0
ENSMUSG00000052281.14	18	19	2	15	7	0
ENSMUSG00000052291.8	19	26	23	45	15	43
ENSMUSG00000052295.4	0	0	0	0	0	0
ENSMUSG00000052368.2	0	0	0	4	0	0
ENSMUSG00000052371.5	0	0	0	0	0	0
ENSMUSG00000052403.11	0	0	0	0	1	0
ENSMUSG00000052479.5	0	0	0	0	2	0
ENSMUSG00000052629.5	0	2	9	0	3	0
ENSMUSG00000052658.5	13	3	0	6	5	3
ENSMUSG00000052724.7	10	5	16	24	15	18
ENSMUSG00000052767.5	0	0	0	0	0	0
ENSMUSG00000052769.7	0	0	0	0	0	0
ENSMUSG00000052848.7	0	0	1	0	0	5
ENSMUSG00000052865.5	0	0	0	0	0	0
ENSMUSG00000052951.5	0	0	0	10	0	0
ENSMUSG00000053049.3	0	0	0	0	0	0
ENSMUSG00000053081.3	0	0	0	0	0	0
ENSMUSG00000053117.10	0	0	0	0	0	0
ENSMUSG00000053185.2	0	0	0	0	0	0
ENSMUSG00000053214.7	0	0	0	2	1	6
ENSMUSG00000053263.3	0	5	0	0	0	0
ENSMUSG00000053332.13	148	132	244	177	162	200
ENSMUSG00000053353.5	0	0	0	10	1	0
ENSMUSG00000053358.2	0	0	0	0	4	7
ENSMUSG00000053360.4	0	0	0	0	0	0
ENSMUSG00000053442.4	0	5	0	0	0	0
ENSMUSG00000053528.6	0	0	0	2	0	0
ENSMUSG00000053545.6	3	0	0	0	0	0
ENSMUSG00000053574.4	21	17	9	14	24	27
ENSMUSG00000053613.6	55	126	29	80	69	98
ENSMUSG00000053640.2	0	0	0	0	0	0
ENSMUSG00000053656.6	0	0	0	0	0	0
ENSMUSG00000053714.8	41	32	47	61	40	17
ENSMUSG00000053889.5	0	0	0	0	0	0
ENSMUSG00000053925.4	0	0	0	0	0	0
ENSMUSG00000053957.5	0	0	0	0	0	0
ENSMUSG00000053979.4	0	0	0	0	0	0
ENSMUSG00000053980.4	0	0	0	0	0	0
ENSMUSG00000054006.14	0	0	0	0	0	0
ENSMUSG00000054061.8	0	0	0	0	1	0
ENSMUSG00000054135.2	0	0	0	0	0	0
ENSMUSG00000054181.11	12	7	0	5	1	3
ENSMUSG00000054247.6	0	0	2	0	3	0
ENSMUSG00000054391.11	0	0	0	0	0	0
ENSMUSG00000054412.5	0	0	0	0	0	0
ENSMUSG00000054418.6	28	9	22	59	31	12
ENSMUSG00000054426.11	130	229	103	230	179	308
ENSMUSG00000054457.5	0	9	0	0	0	0
ENSMUSG00000054488.14	0	0	0	0	0	0
ENSMUSG00000054493.2	24	21	8	28	6	4
ENSMUSG00000054510.5	0	0	0	0	0	0
ENSMUSG00000054514.3	1	0	10	8	2	0
ENSMUSG00000054556.6	0	0	0	0	0	0
ENSMUSG00000054618.8	0	0	0	1	0	0
ENSMUSG00000054622.4	0	7	0	0	1	0
ENSMUSG00000054779.5	0	0	0	0	0	0
ENSMUSG00000054822.5	0	1	0	1	0	0
ENSMUSG00000054909.11	0	0	3	0	0	0
ENSMUSG00000054910.5	0	0	7	0	2	5
ENSMUSG00000054944.7	0	0	0	0	0	0
ENSMUSG00000055045.5	25	20	17	22	8	25
ENSMUSG00000055048.7	0	0	0	4	0	0
ENSMUSG00000055061.5	0	1	0	0	0	0
ENSMUSG00000055110.8	0	0	0	0	0	0
ENSMUSG00000055125.7	2	23	5	0	7	4
ENSMUSG00000055134.5	0	6	0	4	2	0
ENSMUSG00000055159.7	0	0	0	0	0	0
ENSMUSG00000055188.12	3	20	0	7	17	13
ENSMUSG00000055323.5	0	4	0	0	3	0
ENSMUSG00000055370.3	0	0	0	0	0	0
ENSMUSG00000055403.13	75	130	47	56	69	133
ENSMUSG00000055408.7	15	0	1	0	3	0
ENSMUSG00000055446.5	0	0	0	0	0	0
ENSMUSG00000055494.5	0	0	0	0	3	3
ENSMUSG00000055704.4	0	0	0	0	0	0
ENSMUSG00000055818.2	0	0	0	3	2	0
ENSMUSG00000055833.14	35	13	16	28	16	3
ENSMUSG00000055944.3	0	0	0	0	0	0
ENSMUSG00000055961.7	0	0	0	0	0	0
ENSMUSG00000055972.5	0	0	0	2	0	0
ENSMUSG00000056023.3	0	0	0	0	0	0
ENSMUSG00000056031.13	0	0	0	3	0	0
ENSMUSG00000056032.12	0	2	0	0	0	0
ENSMUSG00000056061.3	0	0	0	0	0	0
ENSMUSG00000056128.3	0	0	0	0	0	0
ENSMUSG00000056145.5	4	0	0	1	0	5
ENSMUSG00000056288.11	0	0	0	0	1	0
ENSMUSG00000056316.2	0	0	0	0	0	0
ENSMUSG00000056329.3	0	0	0	0	0	0
ENSMUSG00000056332.4	0	0	0	0	0	0
ENSMUSG00000056411.2	0	0	2	0	4	0
ENSMUSG00000056418.3	0	0	0	5	0	0
ENSMUSG00000056445.8	0	0	0	0	0	2
ENSMUSG00000056579.17	620	671	540	549	413	587
ENSMUSG00000056687.9	0	22	3	18	14	23
ENSMUSG00000056699.7	0	0	0	0	0	0
ENSMUSG00000056716.10	0	0	0	0	0	0
ENSMUSG00000056735.5	19	17	52	36	19	34
ENSMUSG00000056738.11	0	9	18	8	15	2
ENSMUSG00000056753.3	55	26	8	17	17	34
ENSMUSG00000056771.7	35	30	11	15	16	20
ENSMUSG00000056821.13	49	79	31	42	19	24
ENSMUSG00000057215.6	1	56	58	38	8	8
ENSMUSG00000057359.7	0	4	2	9	1	0
ENSMUSG00000057802.8	0	5	7	10	5	12
ENSMUSG00000058159.13	0	0	1	0	0	0
ENSMUSG00000058812.2	1	15	18	8	4	8
ENSMUSG00000058934.8	0	0	0	0	0	0
ENSMUSG00000059027.14	0	0	0	0	0	0
ENSMUSG00000059244.6	0	0	0	1	0	0
ENSMUSG00000059277.12	82	102	85	144	118	131
ENSMUSG00000059631.6	0	0	0	0	0	0
ENSMUSG00000059659.7	53	82	124	106	129	102
ENSMUSG00000059706.4	5	11	1	5	4	0
ENSMUSG00000059972.7	0	0	0	0	0	0
ENSMUSG00000060029.13	0	0	0	0	0	0
ENSMUSG00000060149.6	0	6	8	10	3	5
ENSMUSG00000060380.3	0	0	0	1	1	10
ENSMUSG00000060411.3	0	0	0	0	0	0
ENSMUSG00000060416.2	0	0	3	0	1	0
ENSMUSG00000060424.14	0	0	1	0	0	0
ENSMUSG00000060808.4	3	0	7	1	1	4
ENSMUSG00000061469.2	51	20	51	38	27	57
ENSMUSG00000061510.3	0	0	0	0	0	0
ENSMUSG00000062036.8	0	0	0	0	0	0
ENSMUSG00000062046.1	0	0	0	0	0	0
ENSMUSG00000062132.9	0	9	7	6	2	4
ENSMUSG00000062224.6	0	0	0	0	0	0
ENSMUSG00000062319.2	0	0	0	0	0	0
ENSMUSG00000062391.3	0	0	0	0	0	0
ENSMUSG00000062470.10	0	0	16	18	11	17
ENSMUSG00000062496.9	4	18	29	41	26	32
ENSMUSG00000062704.3	0	0	0	0	2	0
ENSMUSG00000063018.6	41	136	83	146	94	91
ENSMUSG00000063087.14	10	0	3	2	5	7
ENSMUSG00000063109.13	16	14	42	21	40	15
ENSMUSG00000063235.16	507	413	335	397	380	483
ENSMUSG00000063623.3	1	0	0	1	1	7
ENSMUSG00000063714.15	19	63	31	76	50	66
ENSMUSG00000063751.6	2	0	1	4	1	3
ENSMUSG00000064032.2	0	0	0	2	0	0
ENSMUSG00000064043.13	787	695	708	714	726	570
ENSMUSG00000064263.6	66	90	39	77	64	78
ENSMUSG00000064299.6	0	0	0	0	0	0
ENSMUSG00000066057.6	12	7	11	18	4	4
ENSMUSG00000066060.5	0	5	2	2	1	0
ENSMUSG00000066158.7	15	24	8	6	2	8
ENSMUSG00000066170.6	0	17	6	12	12	5
ENSMUSG00000066175.2	60	35	6	14	24	47
ENSMUSG00000066176.3	0	0	0	0	0	0
ENSMUSG00000066477.13	0	0	0	3	1	0
ENSMUSG00000066752.4	0	0	0	0	0	0
ENSMUSG00000067101.5	0	0	0	0	0	0
ENSMUSG00000067103.6	0	0	0	0	0	0
ENSMUSG00000067352.6	0	0	0	0	0	0
ENSMUSG00000067389.3	0	0	0	0	0	0
ENSMUSG00000067577.8	0	0	0	0	0	0
ENSMUSG00000067745.4	0	8	0	0	0	0
ENSMUSG00000067835.4	0	0	0	1	2	14
ENSMUSG00000067951.4	0	0	0	0	0	0
ENSMUSG00000067973.11	0	0	0	0	0	0
ENSMUSG00000068062.3	25	2	0	9	1	15
ENSMUSG00000068151.7	0	0	0	0	0	0
ENSMUSG00000068180.12	1	9	5	2	0	0
ENSMUSG00000068463.3	0	0	0	0	0	0
ENSMUSG00000068601.2	12	22	19	27	13	11
ENSMUSG00000068680.1	0	0	0	0	0	0
ENSMUSG00000068957.1	0	0	6	0	0	0
ENSMUSG00000069074.2	0	0	0	0	0	0
ENSMUSG00000069223.10	0	0	0	0	0	0
ENSMUSG00000069554.4	0	0	0	0	0	0
ENSMUSG00000069713.2	0	0	3	0	5	0
ENSMUSG00000069796.3	0	4	6	0	3	0
ENSMUSG00000069925.6	0	0	0	0	0	0
ENSMUSG00000070111.4	0	0	0	0	0	0
ENSMUSG00000070315.12	0	0	3	0	1	2
ENSMUSG00000070342.3	0	0	0	0	0	0
ENSMUSG00000070392.5	0	0	11	6	1	0
ENSMUSG00000070461.3	16	18	18	21	36	24
ENSMUSG00000070489.5	0	1	1	3	0	8
ENSMUSG00000070574.2	0	0	0	0	0	0
ENSMUSG00000070794.11	0	0	0	0	0	0
ENSMUSG00000070995.10	34	19	12	14	11	7
ENSMUSG00000070997.4	0	0	5	0	8	7
ENSMUSG00000071332.11	9	0	1	0	0	0
ENSMUSG00000071434.2	0	0	0	0	0	0
ENSMUSG00000071456.6	360	316	367	514	295	499
ENSMUSG00000071567.6	0	0	0	0	0	0
ENSMUSG00000071721.5	0	0	0	0	0	0
ENSMUSG00000071753.11	0	0	0	0	0	0
ENSMUSG00000071818.9	0	0	0	0	0	0
ENSMUSG00000071952.3	0	0	0	0	0	0
ENSMUSG00000072109.11	0	0	5	2	4	5
ENSMUSG00000072573.2	0	0	0	0	0	0
ENSMUSG00000072589.3	0	0	0	0	0	0
ENSMUSG00000072591.10	4	23	32	33	15	23
ENSMUSG00000072592.2	0	0	0	0	0	0
ENSMUSG00000072660.5	0	0	0	0	1	0
ENSMUSG00000072677.4	0	0	0	0	0	0
ENSMUSG00000072679.10	0	0	0	0	0	0
ENSMUSG00000072683.3	11	0	0	0	0	0
ENSMUSG00000072686.2	0	0	0	0	0	0
ENSMUSG00000072688.2	0	1	5	11	6	4
ENSMUSG00000072723.10	2	5	9	4	0	3
ENSMUSG00000072753.12	0	0	0	3	0	0
ENSMUSG00000072761.10	0	0	0	0	2	0
ENSMUSG00000072769.6	0	0	0	0	0	5
ENSMUSG00000072809.2	0	0	0	4	0	4
ENSMUSG00000072834.4	0	0	0	0	0	0
ENSMUSG00000072844.6	0	0	1	9	3	0
ENSMUSG00000072847.4	33	16	16	11	9	15
ENSMUSG00000072852.3	0	0	0	0	0	0
ENSMUSG00000072874.4	0	0	0	0	0	0
ENSMUSG00000072884.10	20	16	10	14	10	19
ENSMUSG00000072893.12	6	36	36	50	30	23
ENSMUSG00000072902.4	0	0	0	0	0	0
ENSMUSG00000072962.3	0	0	0	0	0	0
ENSMUSG00000072982.1	0	0	0	0	0	0
ENSMUSG00000072999.9	23	1	7	28	3	19
ENSMUSG00000073000.3	173	268	363	326	249	292
ENSMUSG00000073018.5	62	65	89	66	75	139
ENSMUSG00000073045.9	0	0	0	0	0	0
ENSMUSG00000073051.4	0	0	2	0	0	0
ENSMUSG00000073067.10	0	0	1	0	0	0
ENSMUSG00000073073.4	0	21	1	7	1	7
ENSMUSG00000073103.2	0	0	0	0	0	0
ENSMUSG00000073144.4	0	8	4	0	1	0
ENSMUSG00000073145.6	0	0	0	0	0	0
ENSMUSG00000073147.3	63	89	65	101	74	102
ENSMUSG00000073152.4	0	0	0	0	0	0
ENSMUSG00000073154.10	0	4	1	11	0	0
ENSMUSG00000073155.12	832	1218	927	1527	1054	1244
ENSMUSG00000073164.11	2258	2497	1381	1994	1404	2420
ENSMUSG00000073174.6	0	0	2	5	6	2
ENSMUSG00000073226.9	1	14	7	0	2	11
ENSMUSG00000073236.4	46	163	181	415	107	171
ENSMUSG00000073242.4	0	0	0	0	0	0
ENSMUSG00000073274.4	0	0	0	0	0	0
ENSMUSG00000073374.3	13	19	6	19	7	17
ENSMUSG00000073377.9	0	0	0	0	0	0
ENSMUSG00000073394.4	0	0	0	0	0	0
ENSMUSG00000073415.4	0	0	4	17	0	14
ENSMUSG00000073430.4	0	8	0	0	0	3
ENSMUSG00000073437.10	33	6	15	11	16	12
ENSMUSG00000073478.6	35	13	14	27	13	3
ENSMUSG00000073482.2	0	0	1	2	2	0
ENSMUSG00000073485.3	0	0	1	0	2	5
ENSMUSG00000073528.7	0	0	0	0	0	0
ENSMUSG00000073529.9	0	0	0	0	0	0
ENSMUSG00000073535.5	0	0	0	0	0	0
ENSMUSG00000073538.10	30	52	66	57	53	37
ENSMUSG00000073590.3	9	6	10	6	10	22
ENSMUSG00000073594.3	0	0	0	0	0	0
ENSMUSG00000073627.7	3	5	23	32	29	46
ENSMUSG00000073628.5	0	0	0	0	0	0
ENSMUSG00000073652.10	32	13	19	14	6	3
ENSMUSG00000073656.4	0	0	0	0	0	0
ENSMUSG00000073679.2	0	0	0	0	0	0
ENSMUSG00000073686.2	0	0	0	0	0	0
ENSMUSG00000073699.3	0	0	0	0	0	0
ENSMUSG00000073728.10	0	0	1	3	14	11
ENSMUSG00000073731.12	0	0	0	0	0	0
ENSMUSG00000073739.3	8	0	0	8	2	1
ENSMUSG00000073759.6	0	0	0	0	0	0
ENSMUSG00000073765.6	0	0	0	0	0	0
ENSMUSG00000073778.2	0	0	0	0	0	0
ENSMUSG00000073779.7	98	67	43	52	55	67
ENSMUSG00000073781.4	0	0	0	0	0	0
ENSMUSG00000073787.4	0	6	6	4	3	0
ENSMUSG00000073803.3	0	0	0	0	0	0
ENSMUSG00000073821.11	0	0	0	0	0	0
ENSMUSG00000073843.3	0	0	0	0	0	0
ENSMUSG00000073846.4	0	0	0	0	0	0
ENSMUSG00000073860.12	0	0	0	0	0	0
ENSMUSG00000073862.4	0	0	0	0	0	0
ENSMUSG00000073867.2	0	7	2	7	1	5
ENSMUSG00000073976.10	0	0	0	0	0	0
ENSMUSG00000073985.2	0	0	3	8	9	5
ENSMUSG00000074024.5	14	16	8	9	9	8
ENSMUSG00000074039.10	0	7	4	1	3	7
ENSMUSG00000074052.7	15	9	12	12	8	12
ENSMUSG00000074067.9	0	0	0	0	0	0
ENSMUSG00000074113.4	0	0	0	0	0	0
ENSMUSG00000074128.4	0	0	0	0	0	0
ENSMUSG00000074136.9	120	123	86	150	75	106
ENSMUSG00000074146.9	0	0	0	0	0	0
ENSMUSG00000074149.9	0	0	0	0	0	0
ENSMUSG00000074171.2	16	74	28	31	21	41
ENSMUSG00000074235.4	0	0	0	0	0	0
ENSMUSG00000074237.3	0	0	0	0	0	0
ENSMUSG00000074252.2	0	0	0	0	0	0
ENSMUSG00000074256.3	0	0	0	0	0	0
ENSMUSG00000074274.7	2	2	11	4	12	9
ENSMUSG00000074281.3	0	0	3	7	0	11
ENSMUSG00000074284.6	1	10	0	4	10	8
ENSMUSG00000074292.4	0	0	0	0	0	0
ENSMUSG00000074343.3	0	0	0	0	0	0
ENSMUSG00000074346.6	0	0	0	6	0	0
ENSMUSG00000074354.11	0	0	0	0	0	0
ENSMUSG00000074355.2	0	0	15	1	0	0
ENSMUSG00000074357.3	13	12	12	7	8	0
ENSMUSG00000074373.6	0	0	0	0	0	0
ENSMUSG00000074385.3	0	0	0	0	0	0
ENSMUSG00000074388.3	0	0	0	0	0	0
ENSMUSG00000074398.5	10	19	14	27	15	16
ENSMUSG00000074404.6	0	0	0	0	0	0
ENSMUSG00000074415.12	0	0	4	0	1	0
ENSMUSG00000074461.2	57	33	53	46	38	26
ENSMUSG00000074465.2	0	0	0	0	0	0
ENSMUSG00000074466.12	37	49	24	23	31	22
ENSMUSG00000074469.6	0	0	0	0	0	0
ENSMUSG00000074507.6	0	0	0	0	0	0
ENSMUSG00000074508.4	0	0	0	0	0	0
ENSMUSG00000074517.2	0	0	0	0	0	0
ENSMUSG00000074555.5	0	0	0	0	0	0
ENSMUSG00000074578.13	429	373	211	387	456	551
ENSMUSG00000074603.3	0	0	0	0	0	0
ENSMUSG00000074664.3	0	0	0	0	0	0
ENSMUSG00000074753.5	0	0	0	0	0	0
ENSMUSG00000074758.10	0	0	2	0	0	0
ENSMUSG00000074763.5	0	0	0	0	0	0
ENSMUSG00000074776.4	0	0	0	0	0	0
ENSMUSG00000074782.3	0	0	0	0	0	0
ENSMUSG00000074783.10	0	0	0	2	0	0
ENSMUSG00000074805.5	0	0	0	0	0	0
ENSMUSG00000074813.12	19	36	13	26	7	15
ENSMUSG00000074863.4	10	12	7	1	5	8
ENSMUSG00000074876.5	181	203	128	203	172	254
ENSMUSG00000074887.4	101	117	140	157	80	120
ENSMUSG00000074912.10	0	0	0	0	0	0
ENSMUSG00000074919.2	0	0	0	0	0	0
ENSMUSG00000074987.9	11	1	0	4	0	5
ENSMUSG00000074999.2	0	0	0	0	0	0
ENSMUSG00000075010.4	0	0	0	0	0	0
ENSMUSG00000075020.6	0	0	0	1	1	0
ENSMUSG00000075025.10	0	0	0	0	0	0
ENSMUSG00000075027.9	0	0	0	0	0	0
ENSMUSG00000075029.6	0	0	0	0	0	0
ENSMUSG00000075042.9	0	0	0	0	0	0
ENSMUSG00000075070.6	0	0	0	0	1	0
ENSMUSG00000075184.3	0	0	0	0	0	0
ENSMUSG00000075265.4	0	0	0	3	0	0
ENSMUSG00000075277.4	0	5	0	1	1	1
ENSMUSG00000075314.4	0	0	0	5	2	0
ENSMUSG00000075325.3	0	0	0	0	0	0
ENSMUSG00000075335.3	0	0	0	0	0	0
ENSMUSG00000075389.3	42	0	17	35	23	10
ENSMUSG00000075408.5	0	0	0	3	0	0
